Id; Source; Target; Weight
"(6, 37, 7, 44, 6, 37, 7, 52, 6)";"(6, 37, 7, 44, 6, 37, 7, 52, 6)";"(37, 7, 44, 6, 37, 7, 52, 6, 8)"; 25
"(37, 7, 44, 6, 37, 7, 52, 6, 30)";"(37, 7, 44, 6, 37, 7, 52, 6, 30)";"(7, 44, 6, 37, 7, 52, 6, 30, 34)"; 33
"(37, 7, 44, 6, 37, 7, 52, 6, 30)";"(37, 7, 44, 6, 37, 7, 52, 6, 30)";"(7, 44, 6, 37, 7, 52, 6, 30, 7)"; 37
"(7, 44, 6, 37, 7, 52, 6, 30, 34)";"(7, 44, 6, 37, 7, 52, 6, 30, 34)";"(44, 6, 37, 7, 52, 6, 30, 34, 34)"; 32
"(7, 44, 6, 37, 7, 52, 6, 30, 34)";"(7, 44, 6, 37, 7, 52, 6, 30, 34)";"(44, 6, 37, 7, 52, 6, 30, 34, 7)"; 1
"(44, 6, 37, 7, 52, 6, 30, 34, 34)";"(44, 6, 37, 7, 52, 6, 30, 34, 34)";"(6, 37, 7, 52, 6, 30, 34, 34, 7)"; 27
"(44, 6, 37, 7, 52, 6, 30, 34, 34)";"(44, 6, 37, 7, 52, 6, 30, 34, 34)";"(6, 37, 7, 52, 6, 30, 34, 34, 34)"; 5
"(6, 37, 7, 52, 6, 30, 34, 34, 7)";"(6, 37, 7, 52, 6, 30, 34, 34, 7)";"(37, 7, 52, 6, 30, 34, 34, 7, 5)"; 27
"(37, 7, 52, 6, 30, 34, 34, 7, 5)";"(37, 7, 52, 6, 30, 34, 34, 7, 5)";"(7, 52, 6, 30, 34, 34, 7, 5, 0)"; 27
"(7, 52, 6, 30, 34, 34, 7, 5, 0)";"(7, 52, 6, 30, 34, 34, 7, 5, 0)";"(52, 6, 30, 34, 34, 7, 5, 0, 4)"; 27
"(52, 6, 30, 34, 34, 7, 5, 0, 4)";"(52, 6, 30, 34, 34, 7, 5, 0, 4)";"(6, 30, 34, 34, 7, 5, 0, 4, 47)"; 27
"(6, 30, 34, 34, 7, 5, 0, 4, 47)";"(6, 30, 34, 34, 7, 5, 0, 4, 47)";"(30, 34, 34, 7, 5, 0, 4, 47, 48)"; 27
"(30, 34, 34, 7, 5, 0, 4, 47, 48)";"(30, 34, 34, 7, 5, 0, 4, 47, 48)";"(34, 34, 7, 5, 0, 4, 47, 48, 49)"; 27
"(34, 34, 7, 5, 0, 4, 47, 48, 49)";"(34, 34, 7, 5, 0, 4, 47, 48, 49)";"(34, 7, 5, 0, 4, 47, 48, 49, 47)"; 32
"(34, 7, 5, 0, 4, 47, 48, 49, 47)";"(34, 7, 5, 0, 4, 47, 48, 49, 47)";"(7, 5, 0, 4, 47, 48, 49, 47, 48)"; 34
"(7, 5, 0, 4, 47, 48, 49, 47, 48)";"(7, 5, 0, 4, 47, 48, 49, 47, 48)";"(5, 0, 4, 47, 48, 49, 47, 48, 49)"; 100
"(5, 0, 4, 47, 48, 49, 47, 48, 49)";"(5, 0, 4, 47, 48, 49, 47, 48, 49)";"(0, 4, 47, 48, 49, 47, 48, 49, 8)"; 100
"(0, 4, 47, 48, 49, 47, 48, 49, 8)";"(0, 4, 47, 48, 49, 47, 48, 49, 8)";"(4, 47, 48, 49, 47, 48, 49, 8, 37)"; 100
"(4, 47, 48, 49, 47, 48, 49, 8, 37)";"(4, 47, 48, 49, 47, 48, 49, 8, 37)";"(47, 48, 49, 47, 48, 49, 8, 37, 34)"; 99
"(4, 47, 48, 49, 47, 48, 49, 8, 37)";"(4, 47, 48, 49, 47, 48, 49, 8, 37)";"(47, 48, 49, 47, 48, 49, 8, 37, 8)"; 1
"(47, 48, 49, 47, 48, 49, 8, 37, 34)";"(47, 48, 49, 47, 48, 49, 8, 37, 34)";"(48, 49, 47, 48, 49, 8, 37, 34, 8)"; 99
"(48, 49, 47, 48, 49, 8, 37, 34, 8)";"(48, 49, 47, 48, 49, 8, 37, 34, 8)";"(49, 47, 48, 49, 8, 37, 34, 8, 37)"; 99
"(49, 47, 48, 49, 8, 37, 34, 8, 37)";"(49, 47, 48, 49, 8, 37, 34, 8, 37)";"(47, 48, 49, 8, 37, 34, 8, 37, 8)"; 99
"(47, 48, 49, 8, 37, 34, 8, 37, 8)";"(47, 48, 49, 8, 37, 34, 8, 37, 8)";"(48, 49, 8, 37, 34, 8, 37, 8, 37)"; 99
