"(8, 37, 34, 34, 34, 34, 16, 7, 6)","(37, 34, 34, 34, 34, 16, 7, 6, 34)" , 34
"(37, 34, 34, 34, 34, 16, 7, 6, 30)","(34, 34, 34, 34, 16, 7, 6, 30, 34)" , 34
"(37, 34, 34, 34, 34, 16, 7, 6, 30)","(34, 34, 34, 34, 16, 7, 6, 30, 7)" , 34
"(34, 34, 34, 34, 16, 7, 6, 30, 34)","(34, 34, 34, 16, 7, 6, 30, 34, 7)" , 16
"(34, 34, 34, 34, 16, 7, 6, 30, 34)","(34, 34, 34, 16, 7, 6, 30, 34, 34)" , 16
"(34, 34, 34, 16, 7, 6, 30, 34, 7)","(34, 34, 16, 7, 6, 30, 34, 7, 52)" , 7
"(34, 34, 34, 16, 7, 6, 30, 34, 7)","(34, 34, 16, 7, 6, 30, 34, 7, 6)" , 7
"(34, 34, 16, 7, 6, 30, 34, 7, 52)","(34, 16, 7, 6, 30, 34, 7, 52, 6)" , 6
"(34, 16, 7, 6, 30, 34, 7, 52, 6)","(16, 7, 6, 30, 34, 7, 52, 6, 8)" , 30
"(34, 16, 7, 6, 30, 34, 7, 52, 6)","(16, 7, 6, 30, 34, 7, 52, 6, 30)" , 30
"(34, 16, 7, 6, 30, 34, 7, 52, 6)","(16, 7, 6, 30, 34, 7, 52, 6, 37)" , 30
"(34, 16, 7, 6, 30, 34, 7, 52, 6)","(16, 7, 6, 30, 34, 7, 52, 6, 34)" , 30
"(34, 16, 7, 6, 30, 34, 7, 52, 6)","(16, 7, 6, 30, 34, 7, 52, 6, 15)" , 30
"(16, 7, 6, 30, 34, 7, 52, 6, 8)","(7, 6, 30, 34, 7, 52, 6, 8, 37)" , 34
"(16, 7, 6, 30, 34, 7, 52, 6, 8)","(7, 6, 30, 34, 7, 52, 6, 8, 8)" , 34
"(7, 6, 30, 34, 7, 52, 6, 8, 37)","(6, 30, 34, 7, 52, 6, 8, 37, 15)" , 7
"(7, 6, 30, 34, 7, 52, 6, 8, 37)","(6, 30, 34, 7, 52, 6, 8, 37, 35)" , 7
"(7, 6, 30, 34, 7, 52, 6, 8, 37)","(6, 30, 34, 7, 52, 6, 8, 37, 8)" , 7
"(7, 6, 30, 34, 7, 52, 6, 8, 37)","(6, 30, 34, 7, 52, 6, 8, 37, 34)" , 7
"(6, 30, 34, 7, 52, 6, 8, 37, 15)","(30, 34, 7, 52, 6, 8, 37, 15, 37)" , 52
"(6, 30, 34, 7, 52, 6, 8, 37, 15)","(30, 34, 7, 52, 6, 8, 37, 15, 8)" , 52
"(6, 30, 34, 7, 52, 6, 8, 37, 15)","(30, 34, 7, 52, 6, 8, 37, 15, 24)" , 52
"(30, 34, 7, 52, 6, 8, 37, 15, 37)","(34, 7, 52, 6, 8, 37, 15, 37, 34)" , 6
"(30, 34, 7, 52, 6, 8, 37, 15, 37)","(34, 7, 52, 6, 8, 37, 15, 37, 16)" , 6
"(34, 7, 52, 6, 8, 37, 15, 37, 34)","(7, 52, 6, 8, 37, 15, 37, 34, 16)" , 8
"(34, 7, 52, 6, 8, 37, 15, 37, 34)","(7, 52, 6, 8, 37, 15, 37, 34, 34)" , 8
"(34, 7, 52, 6, 8, 37, 15, 37, 34)","(7, 52, 6, 8, 37, 15, 37, 34, 37)" , 8
"(7, 52, 6, 8, 37, 15, 37, 34, 16)","(52, 6, 8, 37, 15, 37, 34, 16, 30)" , 37
"(52, 6, 8, 37, 15, 37, 34, 16, 30)","(6, 8, 37, 15, 37, 34, 16, 30, 7)" , 15
"(52, 6, 8, 37, 15, 37, 34, 16, 30)","(6, 8, 37, 15, 37, 34, 16, 30, 34)" , 15
"(6, 8, 37, 15, 37, 34, 16, 30, 7)","(8, 37, 15, 37, 34, 16, 30, 7, 5)" , 37
"(8, 37, 15, 37, 34, 16, 30, 7, 5)","(37, 15, 37, 34, 16, 30, 7, 5, 0)" , 34
"(37, 15, 37, 34, 16, 30, 7, 5, 0)","(15, 37, 34, 16, 30, 7, 5, 0, 4)" , 16
"(37, 15, 37, 34, 16, 30, 7, 5, 0)","(15, 37, 34, 16, 30, 7, 5, 0, 3)" , 16
"(15, 37, 34, 16, 30, 7, 5, 0, 4)","(37, 34, 16, 30, 7, 5, 0, 4, 8)" , 30
"(37, 34, 16, 30, 7, 5, 0, 4, 8)","(34, 16, 30, 7, 5, 0, 4, 8, 8)" , 7
"(34, 16, 30, 7, 5, 0, 4, 8, 8)","(16, 30, 7, 5, 0, 4, 8, 8, 40)" , 5
"(34, 16, 30, 7, 5, 0, 4, 8, 8)","(16, 30, 7, 5, 0, 4, 8, 8, 8)" , 5
"(16, 30, 7, 5, 0, 4, 8, 8, 40)","(30, 7, 5, 0, 4, 8, 8, 40, 37)" , 0
"(16, 30, 7, 5, 0, 4, 8, 8, 40)","(30, 7, 5, 0, 4, 8, 8, 40, 34)" , 0
"(30, 7, 5, 0, 4, 8, 8, 40, 37)","(7, 5, 0, 4, 8, 8, 40, 37, 37)" , 4
"(30, 7, 5, 0, 4, 8, 8, 40, 37)","(7, 5, 0, 4, 8, 8, 40, 37, 34)" , 4
"(7, 5, 0, 4, 8, 8, 40, 37, 37)","(5, 0, 4, 8, 8, 40, 37, 37, 41)" , 8
"(5, 0, 4, 8, 8, 40, 37, 37, 41)","(0, 4, 8, 8, 40, 37, 37, 41, 6)" , 8
"(5, 0, 4, 8, 8, 40, 37, 37, 41)","(0, 4, 8, 8, 40, 37, 37, 41, 40)" , 8
"(0, 4, 8, 8, 40, 37, 37, 41, 6)","(4, 8, 8, 40, 37, 37, 41, 6, 30)" , 40
"(0, 4, 8, 8, 40, 37, 37, 41, 6)","(4, 8, 8, 40, 37, 37, 41, 6, 17)" , 40
"(4, 8, 8, 40, 37, 37, 41, 6, 30)","(8, 8, 40, 37, 37, 41, 6, 30, 7)" , 37
"(4, 8, 8, 40, 37, 37, 41, 6, 30)","(8, 8, 40, 37, 37, 41, 6, 30, 34)" , 37
"(8, 8, 40, 37, 37, 41, 6, 30, 7)","(8, 40, 37, 37, 41, 6, 30, 7, 6)" , 37
"(8, 8, 40, 37, 37, 41, 6, 30, 7)","(8, 40, 37, 37, 41, 6, 30, 7, 44)" , 37
"(8, 40, 37, 37, 41, 6, 30, 7, 6)","(40, 37, 37, 41, 6, 30, 7, 6, 30)" , 41
"(40, 37, 37, 41, 6, 30, 7, 6, 30)","(37, 37, 41, 6, 30, 7, 6, 30, 7)" , 6
"(37, 37, 41, 6, 30, 7, 6, 30, 7)","(37, 41, 6, 30, 7, 6, 30, 7, 44)" , 30
"(37, 41, 6, 30, 7, 6, 30, 7, 44)","(41, 6, 30, 7, 6, 30, 7, 44, 6)" , 7
"(41, 6, 30, 7, 6, 30, 7, 44, 6)","(6, 30, 7, 6, 30, 7, 44, 6, 37)" , 6
"(41, 6, 30, 7, 6, 30, 7, 44, 6)","(6, 30, 7, 6, 30, 7, 44, 6, 7)" , 6
"(6, 30, 7, 6, 30, 7, 44, 6, 37)","(30, 7, 6, 30, 7, 44, 6, 37, 7)" , 30
"(30, 7, 6, 30, 7, 44, 6, 37, 7)","(7, 6, 30, 7, 44, 6, 37, 7, 44)" , 7
"(7, 6, 30, 7, 44, 6, 37, 7, 44)","(6, 30, 7, 44, 6, 37, 7, 44, 6)" , 44
"(6, 30, 7, 44, 6, 37, 7, 44, 6)","(30, 7, 44, 6, 37, 7, 44, 6, 37)" , 6
"(6, 30, 7, 44, 6, 37, 7, 44, 6)","(30, 7, 44, 6, 37, 7, 44, 6, 24)" , 6
"(30, 7, 44, 6, 37, 7, 44, 6, 37)","(7, 44, 6, 37, 7, 44, 6, 37, 7)" , 37
"(7, 44, 6, 37, 7, 44, 6, 37, 7)","(44, 6, 37, 7, 44, 6, 37, 7, 52)" , 7
"(7, 44, 6, 37, 7, 44, 6, 37, 7)","(44, 6, 37, 7, 44, 6, 37, 7, 6)" , 7
"(44, 6, 37, 7, 44, 6, 37, 7, 52)","(6, 37, 7, 44, 6, 37, 7, 52, 6)" , 44
"(6, 37, 7, 44, 6, 37, 7, 52, 6)","(37, 7, 44, 6, 37, 7, 52, 6, 30)" , 6
"(6, 37, 7, 44, 6, 37, 7, 52, 6)","(37, 7, 44, 6, 37, 7, 52, 6, 8)" , 6
"(6, 37, 7, 44, 6, 37, 7, 52, 6)","(37, 7, 44, 6, 37, 7, 52, 6, 37)" , 6
"(6, 37, 7, 44, 6, 37, 7, 52, 6)","(37, 7, 44, 6, 37, 7, 52, 6, 34)" , 6
"(37, 7, 44, 6, 37, 7, 52, 6, 30)","(7, 44, 6, 37, 7, 52, 6, 30, 34)" , 37
"(37, 7, 44, 6, 37, 7, 52, 6, 30)","(7, 44, 6, 37, 7, 52, 6, 30, 7)" , 37
"(37, 7, 44, 6, 37, 7, 52, 6, 30)","(7, 44, 6, 37, 7, 52, 6, 30, 35)" , 37
"(7, 44, 6, 37, 7, 52, 6, 30, 34)","(44, 6, 37, 7, 52, 6, 30, 34, 34)" , 7
"(7, 44, 6, 37, 7, 52, 6, 30, 34)","(44, 6, 37, 7, 52, 6, 30, 34, 7)" , 7
"(44, 6, 37, 7, 52, 6, 30, 34, 34)","(6, 37, 7, 52, 6, 30, 34, 34, 7)" , 52
"(44, 6, 37, 7, 52, 6, 30, 34, 34)","(6, 37, 7, 52, 6, 30, 34, 34, 34)" , 52
"(6, 37, 7, 52, 6, 30, 34, 34, 7)","(37, 7, 52, 6, 30, 34, 34, 7, 5)" , 6
"(37, 7, 52, 6, 30, 34, 34, 7, 5)","(7, 52, 6, 30, 34, 34, 7, 5, 0)" , 30
"(7, 52, 6, 30, 34, 34, 7, 5, 0)","(52, 6, 30, 34, 34, 7, 5, 0, 4)" , 34
